MAP SIZE,AVG nb step,Avg path cost,Min path cost,Max path cost,Min nb step,Max nb step,Nb of fails
32,213.6,81.0,71.0,101.0,93,401,0
64,518.8,465.8,162.0,1258.0,297,793,0
96,1907.0,818.8,276.0,2205.0,1133,2547,0
128,1839.6,1554.2,379.0,3505.0,1056,2515,0
256,2638.0,32207.666666666668,16648.0,56905.0,2250,2939,2
