MAP SIZE,AVG nb step,Avg path cost,Min path cost,Max path cost,Min nb step,Max nb step,Nb of fails
32,213.6,81.0,71.0,101.0,93,401,0
64,518.8,465.8,162.0,1258.0,297,793,0
96,1539.2,622.4,277.0,1970.0,1001,2441,0
128,2293.6,2010.2,448.0,4033.0,1716,2804,0
256,2556.25,16349.0,6109.0,33154.0,2147,2865,1
